ICAO_Code	Wingspan	Length	Tail	Width															
C25M	14.4	13.0	4.2	4.0															
C303	11.9	9.3	4.1	4.8															
C30J	40.4	34.4	11.8	4.8															
C310	11.2	9.8	3.2	3.6															
C320	11.2	9.8	3.2	3.9															
C335	11.6	10.5	3.8	4.2															
C340	11.6	13.2	3.8	3.9															
C402	13.5	11.1	3.5	4.5															
C404	14.1	12.0	4.1	5.3															
C414	13.5	11.1	3.5	5.3															
C421	13.5	11.1	3.5	5.3															
C425	13.5	10.9	3.8	6.0															
C441	15.0	11.9	4.0	4.3															
C500	14.4	13.3	4.4	3.9															
C501	14.4	13.3	4.4	3.9															
C510	13.2	12.4	4.1	3.6															
C525	14.3	13.0	4.2	4.0															
C526	14.3	13.0	4.2	4.0															
C550	15.8	14.4	4.6	5.4															
C551	15.8	14.5	4.6	4.1															
C55B	15.9	14.5	4.6	4.1															
C560	16.5	14.9	4.6	5.4															
C56X	17.2	15.8	5.2	4.5															
C650	16.3	16.9	5.1	2.9															
C680	19.2	19.4	6.2	3.0															
C68A	22.0	19.0	6.4	3.0															
C700	21.0	22.3	5.9	3.0															
C72R	11.0	8.3	2.7	2.6															
C750	19.4	22.0	5.9	3.2															
C77R	10.8	8.3	2.6	2.6															
C82R	11.0	8.8	2.8	2.7															
CH7A	10.2	6.7	2.3	1.9															
CH7B	10.2	6.7	2.3	2.1															
CL30	19.4	21.0	6.2	3.8															
CL35	21.0	20.9	6.1	3.9															
CL41	11.1	9.8	2.9	4.4															
CL60	19.6	20.8	6.3	4.0															
CN35	25.8	19.7	8.2	4.3															
COL3	11.0	7.7	2.7	2.6															
COL4	11.0	7.7	2.7	2.6															
COUR	11.9	9.4	4.5	2.9															
CRJ1	21.2	26.8	6.3	4.5															
CRJ2	20.9	26.8	6.3	4.1															
CRJ7	23.3	32.5	7.6	5.0															
CRJ9	24.8	36.2	7.3	5.0															
CRUZ	8.8	6.5	2.3	2.3															
CVLP	28.0	24.1	8.5	8.6															
CVLT	32.1	29.2	8.9	7.3															
D328	21.0	21.3	7.1	4.5															
DA40	11.9	8.0	2.0	3.0															
DA42	13.6	8.6	2.5	3.0															
DC10	50.4	55.4	17.7	13.2															
DC3	29.0	19.7	5.2	6.1															
